"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20150518T101555_20150518T101629_005974_007B3F_FCDE","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","5974","127","651","2015-05-18T10:16:29.981447Z","2015-05-18T10:15:55Z","SLC","2015-05-18T10:15:55Z","2015-05-18T10:16:29Z","-18.3152","-71.3149","-17.550253","-69.885109","-17.005152","-72.223854","-19.62171","-70.390572","-19.066549","-72.759453","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150518T101555_20150518T101629_005974_007B3F_FCDE.zip","4632.037999153137","","","0","S1A_IWDV_0652_0658_005974_127","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20160909T101627_20160909T101642_012974_01487C_1FDF","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","12974","127","656","2016-09-09T10:16:42.050685Z","2016-09-09T10:16:27Z","SLC","2016-09-09T10:16:27Z","2016-09-09T10:16:42Z","-18.925","-71.4685","-18.772408","-70.181053","-18.22131","-72.537506","-19.622879","-70.390175","-19.067583","-72.759476","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160909T101627_20160909T101642_012974_01487C_1FDF.zip","1601.2927703857422","","","0","S1A_IWDV_0658_0661_012974_127","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20181023T101559_20181023T101630_013278_0188CC_98B9","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13278","127","656","2018-10-23T10:16:30.106998Z","2018-10-23T10:15:59Z","SLC","2018-10-23T10:15:59Z","2018-10-23T10:16:30Z","-19.4211","-71.5955","-18.771391","-70.181137","-18.220379","-72.537453","-20.617586","-70.638062","-20.057335","-73.023087","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20181023T101559_20181023T101630_013278_0188CC_98B9.zip","3708.4087104797363","","","0","S1B_IWDV_0655_0662_013278_127","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20181104T101555_20181104T101623_013453_018E4D_24A1","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13453","127","655","2018-11-04T10:16:23.429030Z","2018-11-04T10:15:55Z","SLC","2018-11-04T10:15:55Z","2018-11-04T10:16:23Z","-19.1102","-71.5356","-18.545206","-70.134529","-17.990248","-72.507935","-20.225824","-70.548935","-19.662439","-72.948189","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20181104T101555_20181104T101623_013453_018E4D_24A1.zip","3461.485553741455","","","0","S1B_IWDV_0655_0660_013453_127","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20181116T101555_20181116T101623_013628_0193C1_2E8E","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13628","127","655","2018-11-16T10:16:23.257936Z","2018-11-16T10:15:55Z","SLC","2018-11-16T10:15:55Z","2018-11-16T10:16:23Z","-19.1101","-71.5368","-18.545198","-70.135696","-17.9902","-72.509087","-20.225567","-70.550079","-19.66214","-72.94931","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20181116T101555_20181116T101623_013628_0193C1_2E8E.zip","3298.71826839447","","","0","S1B_IWDV_0655_0660_013628_127","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20181128T101554_20181128T101622_013803_01995A_6EDF","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13803","127","655","2018-11-28T10:16:22.742764Z","2018-11-28T10:15:54Z","SLC","2018-11-28T10:15:54Z","2018-11-28T10:16:22Z","-19.1103","-71.5362","-18.545118","-70.135063","-17.990152","-72.508392","-20.22611","-70.549599","-19.662714","-72.948769","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20181128T101554_20181128T101622_013803_01995A_6EDF.zip","3342.4833421707153","","","0","S1B_IWDV_0655_0660_013803_127","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20181210T101554_20181210T101622_013978_019F03_5BD5","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","13978","127","655","2018-12-10T10:16:22.375414Z","2018-12-10T10:15:54Z","SLC","2018-12-10T10:15:54Z","2018-12-10T10:16:22Z","-19.11","-71.536","-18.545021","-70.134888","-17.990074","-72.508247","-20.225517","-70.549271","-19.662146","-72.948471","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20181210T101554_20181210T101622_013978_019F03_5BD5.zip","3491.029570579529","","","0","S1B_IWDV_0654_0661_013978_127","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20181222T101554_20181222T101622_014153_01A4CF_BC2C","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14153","127","655","2018-12-22T10:16:22.083094Z","2018-12-22T10:15:54Z","SLC","2018-12-22T10:15:54Z","2018-12-22T10:16:22Z","-19.1098","-71.5357","-18.544699","-70.134674","-17.989803","-72.50795","-20.225327","-70.549065","-19.662006","-72.948181","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20181222T101554_20181222T101622_014153_01A4CF_BC2C.zip","3491.035433769226","","","0","S1B_IWDV_0654_0661_014153_127","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20190103T101553_20190103T101621_014328_01AA92_0EEF","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14328","127","655","2019-01-03T10:16:21.519188Z","2019-01-03T10:15:53Z","SLC","2019-01-03T10:15:53Z","2019-01-03T10:16:21Z","-19.1099","-71.5353","-18.544998","-70.1343","-17.990072","-72.507629","-20.225378","-70.548653","-19.662025","-72.947815","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20190103T101553_20190103T101621_014328_01AA92_0EEF.zip","3507.1990852355957","","","0","S1B_IWDV_0655_0660_014328_127","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20190115T101553_20190115T101621_014503_01B03A_6455","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14503","127","655","2019-01-15T10:16:21.171634Z","2019-01-15T10:15:53Z","SLC","2019-01-15T10:15:53Z","2019-01-15T10:16:21Z","-19.1081","-71.5357","-18.543123","-70.134644","-17.988169","-72.507874","-20.223619","-70.549057","-19.66024","-72.948112","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20190115T101553_20190115T101621_014503_01B03A_6455.zip","3577.6627473831177","","","0","S1B_IWDV_0654_0661_014503_127","","","","","","","","","","",""
